Task,gemini-3.5-flash-lite
0116d3c1.json,Vertically mirrored the input grid by reversing the order of its rows and appended this mirrored copy underneath the original input grid.
045e133c.json,Translate the red shape so that its bounding box top-left corner is positioned relative to the green corner markers' bounding box top-left.
02834e2f.json,Count the occurrences of each non-zero color in the input grid and generate a 3x1 vertical output grid ordering these colors by ascending pixel count.
04067399.json,"Count the number of 2x2 blocks of color 1 (blue) in the input grid, and output a 1D array of length 5 with that many 1s followed by 0s."
04e34e19.json,"Each gray rectangular block is transformed into a patterned frame: corners become blue (1), perimeter edges become yellow (4), and interior pixels become red (2), while the background remains unchanged (0)."
05650ed9.json,"Identified the foreground color in the grid, counted its occurrences inside each distinct background region, and outputted the background color of the region with the highest count."
04e656f5.json,Extracted specific pixel coordinates where value 8 appears based on column indices mapped to relative grid positions.
06dc0331.json,"The input grid is replicated in a 2x2 layout, and every non-zero pixel within each quadrant projects vertical lines of 8s upwards and downwards to the edges of that quadrant while preserving its own value."
09e07b65.json,Extracts the colors of the horizontal stripes (vertical bands) from left to right and formats them into a single-row output grid.
0904be99.json,"Each non-zero pixel in the input grid is expanded into a 4x4 square block of the same color in the output grid, with top-left coordinates calculated proportionally based on the input pixel position."
0bd9f1d0.json,"Find the bounding box (minimum and maximum row and column indices) for each unique non-zero color in the input grid, and fill the entire rectangle defined by that bounding box with the respective color."
0a981f14.json,The size of the output grid is determined by the dimensions of the gray square in the input. The non-gray rows (or columns) are extracted in order and each repeated to fill the corresponding row of the output grid.
0dba2882.json,"Blue pixels in row 2 fall downward to the bottom row, replacing the gray pixels at those column positions, while leaving row 3 unaffected."
0c983780.json,The reasoning text is incomplete and cuts off during the analysis of digit occurrences in the input grid.
0d3c0c49.json,"Orange pixels (7) move horizontally and vertically to surround blue targets (1), and green pixels (3) move similarly to surround red targets (2), stopping adjacent to them."
0c0bd8b4.json,The task involves dividing an inner grid of size IH x W into a 3x3 output grid by evaluating the blocks and counting specific values or features within each region.
0eede98b.json,"Partition the input grid into sub-regions separated by rows and columns of zeros, identify the dominant color of each sub-region, and construct a smaller 3x3 output grid representing the spatial arrangement of these colors."
103797d9.json,Find the most frequent number (the mode) in the input grid and fill the entire 3x3 output grid with that number.
0e368572.json,"Combine the left and right 3x5 sections of the input grid using a row-wise logical OR, then compress the 5 rows into a 3x3 output by taking Row 0, the logical OR of Rows 1 and 3, and Row 4."
125edfe2.json,"Located the teal (8) pixel, extracted the 3x3 subgrid centered on it, and replaced the center pixel with the surrounding color (7)."
14143353.json,"Draw full rows and columns corresponding to each of the two input colored pixels using their respective colors, with the intersection points of these rows and columns set to color 2, while all other cells remain 0."
10187f18.json,"Slide a composite object (consisting of a main shape and a connecting line) toward a stationary barrier object until it collides, stopping adjacent to it and erasing the connecting line."
16f28a3b.json,"Locate the two markers with value 1, find their midpoint, and draw a 3x3 plus-shaped cross of value 3 centered at the midpoint while preserving the original 1s."
19e94f32.json,"Green (3) pixels that are part of a connected component of size greater than 1 change to teal (8), while isolated green (3) pixels remain 3."
16fb18ab.json,"Extract non-zero elements, divide them into three column-based groups of three elements each (right, middle, left), sort the right and left groups in ascending order by column index, sort the middle group in descending order, and place them into a 3x3 output grid."
1a74a195.json,"Reversed the order of the concentric rectangular layers from outside to inside, while keeping the absolute middle layer unchanged."
1ae63fb9.json,"Extracted the unique colors of the concentric rectangular layers from outside to inside, performed a right cyclic shift by 1 position on the color sequence, and reassigned the shifted colors back to the layers."
1b1095a8.json,Place yellow pixels (value 4) in the bottom row at the horizontal center coordinates of each colored object found in the grid.
1c0a270d.json,"Isolate the middle column of the input grid, keeping its values intact while setting all other cells in the grid to 0."
1c76d410.json,"The 10x10 grid is divided into top and bottom halves. The top half (rows 0-4) is filled with color C1, having full rows at indices 0 and 2 and hollow rows at 1, 3, 4. The bottom half (rows 5-9) uses color C2, with full rows at relative indices 2 and 4 and hollow rows at 0, 1, 3."
1b40be75.json,"The puzzle involves identifying a pattern related to the gray L shape and the position/reflection of shapes within the grid, with the target output defined by the transformation rule found in the examples."
1e8ee3d6.json,"Swapped colors based on specific pairs: 1 and 5, 2 and 6, 3 and 4, and 8 and 9."
1c7bda91.json,"Swap the colors 5 and 8 throughout the grid, leaving all other colors unchanged."
1ff5d68e.json,Crop the input grid to the minimum bounding box that encloses all the non-zero colored pixels.
2089f173.json,"Along diagonal lines of non-zero pixels, change the pixel value to 4 if its column index is odd, while leaving pixels at even column indices unchanged."
2247228c.json,"Duplicated the top 3x3 shape as a horizontally mirrored copy placed on the left or right side based on the position of the single yellow pixel in row 3, while keeping the middle rows unchanged."
23308f51.json,"Create a repeating stripe pattern based on the coordinates and differences of the two input pixels, tiling it across the grid dimensions."
236e8d41.json,The grid is partitioned into horizontal bands of uniform color. Any black pixel (0) within a band expands vertically across all rows of that specific band within its column.
24bef2c2.json,"Select the rectangular region of 1s and 2s where the width is greater than or equal to the height and which contains the maximum number of 2s, then output that exact subgrid."
251c0037.json,"Extract the non-zero pixel bounding box and scale it up by a factor of 2 in both dimensions, replacing each pixel with a 2x2 block of the same color."
251810be.json,"Restore horizontal and vertical symmetry to the grid by replacing rows containing corrupted values (color 4) with their clean, symmetric counterparts from the opposite half of the grid."
25d3373d.json,Each row of the input grid is horizontally flipped (reversed) to form the output grid.
