Task,gemini-3.5-flash-lite
0116d3c1.json,CORRECT
045e133c.json,CORRECT
02834e2f.json,CORRECT
04067399.json,CORRECT
04e34e19.json,CORRECT
05650ed9.json,CORRECT
04e656f5.json,INCORRECT
06dc0331.json,CORRECT
09e07b65.json,CORRECT
0904be99.json,CORRECT
0bd9f1d0.json,CORRECT
0a981f14.json,CORRECT
0dba2882.json,CORRECT
0c983780.json,INCORRECT
0d3c0c49.json,CORRECT
0c0bd8b4.json,INCORRECT
0eede98b.json,CORRECT
103797d9.json,CORRECT
0e368572.json,CORRECT
125edfe2.json,CORRECT
14143353.json,CORRECT
10187f18.json,CORRECT
16f28a3b.json,CORRECT
19e94f32.json,CORRECT
16fb18ab.json,CORRECT
1a74a195.json,CORRECT
1ae63fb9.json,CORRECT
1b1095a8.json,CORRECT
1c0a270d.json,CORRECT
1c76d410.json,CORRECT
1b40be75.json,INCORRECT
1e8ee3d6.json,CORRECT
1c7bda91.json,CORRECT
1ff5d68e.json,CORRECT
2089f173.json,CORRECT
2247228c.json,CORRECT
23308f51.json,INCORRECT
236e8d41.json,CORRECT
24bef2c2.json,INCORRECT
251c0037.json,CORRECT
251810be.json,CORRECT
25d3373d.json,CORRECT
253aa45d.json,CORRECT
2765ffdf.json,CORRECT
277c93c2.json,CORRECT
2744ce4d.json,CORRECT
2a3ea837.json,CORRECT
2ac102d1.json,CORRECT
279778ba.json,CORRECT
297f3784.json,CORRECT
2dbb265d.json,CORRECT
2ed2b4e6.json,INCORRECT
2a117f56.json,CORRECT
308a2424.json,INCORRECT
30c34ffd.json,CORRECT
2d17a4a0.json,CORRECT
32cdba4a.json,CORRECT
32d2e658.json,INCORRECT
33332f29.json,CORRECT
352947b3.json,CORRECT
394a0756.json,INCORRECT
3a2975f5.json,CORRECT
32e07bbb.json,CORRECT
3b036b2b.json,CORRECT
3bae05d5.json,CORRECT
3bb0981f.json,CORRECT
3c33d9aa.json,CORRECT
3ce8e416.json,CORRECT
3df0049f.json,CORRECT
3e4e51fb.json,CORRECT
3e562f0e.json,CORRECT
3fa44027.json,CORRECT
41415157.json,CORRECT
410a3da9.json,CORRECT
42399cfb.json,CORRECT
3f8d5042.json,INCORRECT
43fe9187.json,CORRECT
42659e50.json,CORRECT
44e610d9.json,CORRECT
44ee9996.json,CORRECT
44de44c9.json,INCORRECT
459ffbc5.json,CORRECT
45237ee8.json,CORRECT
468386fd.json,CORRECT
49d73f0a.json,CORRECT
4833ba1f.json,CORRECT
490c5c60.json,CORRECT
4c011460.json,CORRECT
4d14b429.json,CORRECT
505328e6.json,CORRECT
4f405234.json,CORRECT
4edd5138.json,CORRECT
50afc3d7.json,INCORRECT
51c9e1ec.json,CORRECT
513e24d3.json,INCORRECT
52cd21b5.json,CORRECT
5576c276.json,CORRECT
521a246d.json,CORRECT
578a394e.json,CORRECT
5629197e.json,CORRECT
584eee43.json,CORRECT
562bbee7.json,CORRECT
575493ba.json,CORRECT
59182248.json,CORRECT
5861bad6.json,CORRECT
5a0d02dd.json,CORRECT
5c2545bc.json,CORRECT
613c977d.json,CORRECT
5f136d0e.json,CORRECT
622c84c8.json,CORRECT
63aaf2ce.json,CORRECT
64402ae2.json,CORRECT
62705c1e.json,INCORRECT
6606ee9c.json,CORRECT
68924e68.json,CORRECT
694381e2.json,CORRECT
67e40f18.json,CORRECT
6c05ef07.json,CORRECT
697c9109.json,CORRECT
6c52660b.json,CORRECT
6ccad2f0.json,CORRECT
6d6ffc51.json,CORRECT
6ed96413.json,CORRECT
6f549fab.json,CORRECT
6f98a014.json,CORRECT
6e56d5ce.json,CORRECT
7445d489.json,CORRECT
767c24b5.json,CORRECT
769c7a1f.json,CORRECT
732a6027.json,CORRECT
7919ffeb.json,CORRECT
78c24a43.json,CORRECT
78bc031d.json,CORRECT
7803b0fb.json,CORRECT
79e43ba7.json,CORRECT
792503f2.json,CORRECT
79cf39b1.json,INCORRECT
7a9802c0.json,CORRECT
7c5d0c3f.json,CORRECT
7d3d6bd5.json,CORRECT
7d42b053.json,CORRECT
7e17ed8a.json,CORRECT
7dd70e6f.json,CORRECT
7fa82b7e.json,CORRECT
81797ffa.json,CORRECT
7fbf585b.json,CORRECT
81c9d535.json,CORRECT
8395375d.json,CORRECT
864ac498.json,CORRECT
8691e4f7.json,CORRECT
848e0e1e.json,CORRECT
83e4df9e.json,CORRECT
88b1bde6.json,CORRECT
86c1c4ae.json,CORRECT
887da086.json,CORRECT
88e0458f.json,CORRECT
8d45d79c.json,CORRECT
8e927d20.json,CORRECT
8e8dec42.json,INCORRECT
8f372d25.json,CORRECT
8e9e3c8f.json,INCORRECT
8f8d8555.json,CORRECT
90f5da7e.json,CORRECT
91eccb59.json,CORRECT
93b32800.json,CORRECT
97275317.json,CORRECT
95720a7a.json,CORRECT
969d6e2c.json,CORRECT
95bf3196.json,INCORRECT
9a987638.json,CORRECT
9a734fe7.json,CORRECT
977ac774.json,CORRECT
9c2a7558.json,CORRECT
9df6d7df.json,CORRECT
9ceea0f6.json,CORRECT
9cfc07d0.json,CORRECT
a1ab7be3.json,CORRECT
a28c78a7.json,CORRECT
a2116812.json,INCORRECT
a2f6696f.json,CORRECT
a2a7fca2.json,CORRECT
a50d7c10.json,INCORRECT
a41aec0c.json,INCORRECT
a58e4d07.json,CORRECT
a5b75392.json,CORRECT
a707d1ce.json,CORRECT
a72f549c.json,CORRECT
a71f81f2.json,CORRECT
ab8a6001.json,CORRECT
a8cf24da.json,INCORRECT
a8e4e8bd.json,CORRECT
a7b29541.json,INCORRECT
ace0bc7f.json,INCORRECT
acf19f2e.json,CORRECT
afb05240.json,CORRECT
b2fab35e.json,CORRECT
b4b94091.json,CORRECT
b5b712fe.json,CORRECT
b70dc463.json,CORRECT
ba4ccb4e.json,CORRECT
b77c571d.json,CORRECT
b6dc262b.json,INCORRECT
bda58440.json,CORRECT
bbfb4235.json,INCORRECT
be5e9957.json,CORRECT
bfed2960.json,CORRECT
bf87fadf.json,CORRECT
c3059bba.json,CORRECT
c238ffc2.json,INCORRECT
c46a4931.json,CORRECT
c49fcd37.json,INCORRECT
c4d4577c.json,CORRECT
c5001498.json,CORRECT
c77eca62.json,CORRECT
c6264a74.json,CORRECT
c83c97ec.json,CORRECT
ca12e3ae.json,CORRECT
ca726edf.json,CORRECT
cb77d8dc.json,CORRECT
ccaa13e4.json,CORRECT
cf80a757.json,CORRECT
cc789ca7.json,INCORRECT
cff41e70.json,INCORRECT
d31717a1.json,CORRECT
d1a97e06.json,INCORRECT
d3273c54.json,CORRECT
d33025f2.json,CORRECT
d65c2055.json,CORRECT
d56f2585.json,CORRECT
d799bb84.json,CORRECT
d946a20c.json,CORRECT
db166b77.json,CORRECT
dcc8870e.json,CORRECT
d9db4161.json,CORRECT
dab615f3.json,INCORRECT
dd43dfad.json,CORRECT
dd4ed7a1.json,CORRECT
dee8103d.json,INCORRECT
df148b4b.json,CORRECT
df206108.json,CORRECT
dfb57fda.json,CORRECT
e42b3a59.json,CORRECT
e078d170.json,CORRECT
e48544b5.json,CORRECT
