Task,gemma-4-31b-it
01329eb7.json,"Each 3x3 block is filled with a solid color based on its center cell's value using the mapping: 1→2, 3→7, 5→8, 9→4. Separator lines of 6s remain unchanged."
01613f44.json,"Rotate the input grid 90 degrees clockwise, reverse the resulting grid vertically, and then repeat the final grid horizontally once."
001c8ad3.json,"For each non-zero pixel at (row, col) with value V, create a repeating pattern of length (GridWidth - col) starting at (row, 0). The pattern alternates between magenta (6) and a specific color O determined by a chain (2→8, 8→3, 3→5, 5→?, 6→4, 4→2). If col is even, the pattern starts with 6; if odd, it starts with O."
0032aa75.json,"Identify L-shapes (3-pixel clusters in a 2x2 area), complete them into 2x2 squares, and place a pixel of value 8 at the corner opposite to the originally missing pixel."
019663f7.json,Identify a 3x3 square with a uniform outer ring color and output the color of the center pixel.
02da6c75.json,"Identify the smallest colored block, transpose its dimensions for the output grid, and map its color to a specific output color (1 maps to 6)."
032d3332.json,"The output grid is a 180-degree rotation of the input grid, with the largest rectangle of 0s in the original input grid replaced by 5s in the rotated output."
03dc4d78.json,"Transpose the input grid and apply a color mapping cycle: 1→3, 3→7, 7→2, 2→4, 4→8, 8→1."
046a7efd.json,"The second row serves as a master sequence. Other rows containing non-zero values act as mapping sequences. If the master and mapping sequences share a color, the mapping is $C_1 \to M_1, C_2 \to M_2$; otherwise, it is $C_1 \to M_2, C_2 \to M_1$. The output grid is constructed by placing the transformed master sequence into columns corresponding to the row indices of the mapping sequences."
05c8acf6.json,Identify the most frequent color in the input grid and fill the entire output grid with that color.
05e51828.json,"The output is a 6x6 grid created by mirroring the columns of the 3x3 input grid. Specifically, the columns are processed in reverse order (Col 2, Col 1, Col 0), each mirrored horizontally to form a row of 6 elements, and then these rows are mirrored vertically to complete the grid."
05a6bcc7.json,"The input is split into two halves. The output background is set to the color of the points in the first half. The objects from the second half are retained, with the second half's background color replaced by the new background color and the point color from the first half swapped with the second half's background color."
0575aa9a.json,"Identify the color C that appears once at (r1, c1). The output is a 3x3 square centered at (9-c1, 9-r1) with a border of color 2 and a center of color C, with all other cells as 0."
06152bc4.json,"Reflect each shape's rows across the horizontal center (new_row = 9 - old_row), fill the range between the leftmost and rightmost columns of the original row, and map colors according to the cycle 7->3->1->8->4->7 (with 6 remaining 6)."
070b8dfe.json,"The input grid is divided into a grid of blocks. The output is a grid where each cell's color corresponds to the color of the block at the reflected position across the anti-diagonal of the block grid (row_out = N-1 - col_in, col_out = N-1 - row_in)."
067110be.json,"Identify the most frequent color (M) in the input grid. Map M to a new color C1 using the cycle 4 -> 2 -> 1 -> 4 (or similar mapping based on examples). Replace all instances of M with C1 and all other colors with 5. Finally, rotate the resulting grid 90 degrees clockwise."
07f4cdbd.json,Rotate the grid 90 degrees clockwise and then reverse the order of the rows (equivalent to a reflection across the anti-diagonal).
08057cf6.json,"The output grid's i-th row is the reverse of the input grid's i-th column, which is equivalent to a 90-degree clockwise rotation."
08bee0c9.json,Count the number of 2x2 blocks of color 1 in the input grid (N) and create a 1x5 grid where the first N elements are 2 and the remaining are 0.
090173db.json,"Apply a specific color mapping (1→5, 2→4, 3→9, 4→8, 5→3, 6→1, 7→7, 8→2, 9→6) and then flip the resulting grid horizontally."
0a710c9d.json,"Swap the counts and shapes of Color 2 and Color 5: Color 5 becomes a centered rectangle outline with the original count of Color 2, and Color 2 becomes a centered symmetric block with the original count of Color 5."
0a80c04c.json,Identify the rectangular blob containing the most blue cells (color 1) and perform a horizontal flip (reverse the columns) of that blob.
0a90cf76.json,The output is a 3x6 grid consisting of two 3x3 grids. The left 3x3 grid is a 90-degree counter-clockwise rotation of the input grid with 7s replaced by 1s. The right 3x3 grid is a horizontal reflection (mirror image) of the left 3x3 grid.
0ac600f8.json,Identify the 3x3 square of a single color that contains a different color in its center pixel; the output is the color of that center pixel.
0acc3296.json,"Rotated the rectangle of 5s 90 degrees, repositioned it, and added a block and line of 8s based on the position of the gap."
064b004a.json,"Extract the bounding box of non-zero elements, reverse the order of the rows, and swap colors 1 and 8."
0aee39ae.json,"The 3x3 input grid is transformed into a 6x6 grid by reversing each row, mirroring that reversed row horizontally, and then arranging these processed rows in the vertical order: Row 2, Row 1, Row 0, Row 0, Row 1, Row 2."
0c8c70c7.json,"The transformation follows a digit-to-digit mapping: 8 maps to 6, 1 maps to 5, and 3 maps to 8."
0d396bc8.json,"Identify a rectangular region of a background color (X). For each anomaly cell at relative position (r, c) within that region, draw a horizontal line at row c and a vertical line at column r in a transposed output grid of dimensions W x H, using the anomaly color."
0dcc1f4c.json,"Extract non-zero cells, sort them by column index in descending order, divide the resulting color sequence into three groups of three, and reverse the order of the first and third rows."
0e935e8e.json,"The output grid is 6xN (where N is the input row count). Each non-zero value at input row r and column 0 is mapped to a color C' (C' = C-2 if C>3, else C+5) and creates a 6x3 checkerboard pattern starting at output column r-1."
0e9d2254.json,"Reverse the order of the input rows, then expand the grid by duplicating each element horizontally and each resulting row vertically."
0f299605.json,"Count the frequency of each non-zero color, sort them in descending order, and place them in columns from right to left, filling each column from the top row downwards based on their frequency."
0fbefe36.json,"Identify three blocks of color 3 and three markers in the bottom row. Associate blocks (left-to-right) with markers (right-to-left). Recolor and reposition the blocks based on a specific color mapping (1→2, 2→6, 6→7, 7→8, 8→1, 4→5, 5→4, 9→1) and update the bottom row markers accordingly."
10710b06.json,"Identify the dominant color block and the relative coordinates (r, c) of anomaly pixels within it. Create an output grid of the block's transposed dimensions filled with the dominant color, then fill the rows and columns corresponding to the relative coordinates of the anomalies with the anomaly color."
10a1ecce.json,"The output grid dimensions are $N_X \times X$, where $X$ is the size of the largest object(s) and $N_X$ is the number of objects of that size. Each row of the output grid is filled with the color of one of the largest objects."
10e947c6.json,"The output grid dimensions are determined by the number of regions created by full-color rows and columns (Col Regions x Row Regions). The output color is mapped from the non-line color (1 maps to 1, 7 maps to 3)."
10f37aa4.json,"The grid is processed in repeating cycles of 3 rows: rows 0-1 receive 4s to the right of the 2, rows 2-4 are skipped, rows 5-7 receive 4s to the left of the 2, and rows 8-10 are skipped. This pattern of (Right, Skip, Left, Skip) repeats every 12 rows."
115049c9.json,"The output is a 3x3 grid derived from the 6x6 central shape. The output colors are a transformation of the input colors, and the positions are determined by the symmetry and distribution of the input colors."
11917376.json,"The output grid is a vertically reversed version of the input grid, where each row is also horizontally reversed and the color 1 is mapped to 6 (pink), while 0 remains 0."
11e48acb.json,"The input contains a 3x3 arrangement of N x N blocks of a specific color (color_block) and another single color (color_other). The output is a 3x3 grid where a cell is color_other if the corresponding N x N block in the input was color_block, and 0 otherwise."
11ec963a.json,A cell becomes color 1 if it is the midpoint between two cells of color 2 that are in the same row or column and are exactly 2 units apart.
12724983.json,"Calculate shift = (vertical line column - horizontal line row + count of color 5 cells). Move the horizontal line to row (H + shift) and the vertical line to column (V - shift), then remove all color 5 cells."
12fe39ca.json,"The input 4x8 grid is split into two 4x4 grids (left and right), and the output is a 4x4 grid derived from a logical operation or comparison between the two halves."
1309c948.json,"Extract the shape from the input, transform color 8 to 2 and keep color 3 as 3, and place it in an 8x8 grid with color 4 at the four corners."
13b4adc3.json,"Identify the repeating pattern in the grid, determine the original values of the zero-filled rectangular area based on that pattern, flatten those values, perform a cyclic shift (first element to the end), and reshape them back into the rectangular area."
149cd685.json,Horizontal lines are transformed into vertical lines and vertical lines into horizontal lines using a reflection across the grid width (Width-1 - coordinate). Vertical lines (derived from input rows) take precedence over horizontal lines (derived from input columns) at intersections.
