Task,gemini-3.5-flash-lite
0098233f.json,"Rectangular magenta frames are vertically reflected across the grid center, and their interiors are replaced based on size: 5x5 frames get interior 0, 4x4 frames get interior 7, and 3x3 frames get interior 8."
00c7c37a.json,"The grid dimensions are transposed, colors are mapped according to symmetric pairs (e.g., 3 to 8, 5 to 2), and the output columns are formed symmetrically mirroring the input rows."
004af2fa.json,"Locate the rectangular input block, determine its fill color from an adjacent marker, transpose its dimensions, and place the newly recolored and transposed block onto a 16x16 output grid."
00bc88e0.json,Color 1 forms horizontal lines at rows determined by Color 2's input row coordinates. Color 2 forms vertical lines at columns determined by Color 3's input column coordinates. Color 3 forms vertical lines at columns determined by Color 2's input column coordinates. Vertical lines take precedence over horizontal lines at intersections.
01368aab.json,Count the number of foreground pixels in the input grid and output a vertical column of that height filled with the foreground color.
011f47cc.json,"The input grid is divided into quadrants by a cross. Three quadrants are uniform, and one contains an odd cell. The output is a single quadrant where the background color becomes the sum of the cross and odd cell colors, and the odd cell takes the value of the input background color, preserving its relative position."
0125bc41.json,"The grid transformation aligns the shapes from the left input based on the reference points or masks provided in the right input, applying conditional shifting or filtering."
01609041.json,"Find the largest shape by pixel count, take its bounding box, transpose its dimensions, convert it to a binary mask, transpose the mask, and map the pixels to new colors."
02c6b78a.json,"Each non-zero 3x3 block in the output grid is a 180-degree rotation of the input grid, placed at coordinates (r, c) if and only if the input grid has the value 2 at the point-reflected position (2-r, 2-c)."
034615a2.json,"The task is interrupted in the reasoning, but it involves parsing coordinates of colored points in the input to determine the dimensions and placement of rectangular regions in the output grid."
037a41e8.json,"Select the $3 \times 3$ block corresponding to the target color (color 6), and generate the output grid by replacing its background color '3' with '0' while keeping the foreground color intact."
04ac5bfb.json,"Transposed the grid, mapped specific input colors to new colors, and generated vertical stripes starting from a calculated row extending to the bottom, with values alternating between the mapped color and 5."
076f573b.json,Replaced all occurrences of the color 7 (orange) with the color 6 (magenta) while keeping the color 2 (red) unchanged.
05625edb.json,Extract and vertically stack distinct colored shapes found in the input grid top-to-bottom into the output grid.
05e9e5b3.json,"Identify 5x5 hollow squares with center dots and fill their interior '0's with '1's, completing and arranging any overlapping or secondary frame structures."
06783b5d.json,"If the first row has a 1 at column 0, shift all 1s from input row 1 to the right by 1. Output row 0 is 1s with 5s at the shifted positions, output row 1 has 1s at the shifted positions and 0s elsewhere, and rows 2 to 4 are all 0s."
08170471.json,"Transposed the input grid dimensions from 10 x N to N x 10, placing a single '1' per column in a triangle wave pattern oscillating between 0 and N-1."
089d8654.json,Extracted summary metrics or values corresponding to the color stripes present in the grid.
08f59335.json,"Extract the enclosed shape, convert its outlining zeros to fives (keeping interior eights as eights), convert exterior background eights to zeros, rotate the shape 90 degrees clockwise, and place it at the top-left area."
095559ec.json,"Extract and classify geometric shapes from the input grid (such as horizontal/vertical bars, 2x2 squares, and L-shapes) and reconstruct the output grid by mapping each shape to a specific color (5, 3, or 2) based on its spatial characteristics and training set patterns."
09eaa19f.json,Rotate the grid 90 degrees counter-clockwise and apply a global color substitution mapping.
0a807bfc.json,"Replaces column 0 markers with the column positions of row 9 markers from the input, and draws vertical lines of zeros at derived column positions marked by 5 at row 0."
0b02ac10.json,Rotated the grid 90 degrees and repositioned the color patterns (yellow and teal) according to the spatial transformation rule.
0b3c1e35.json,"Rotate each diagonal line segment 90 degrees counter-clockwise around the center of the 10x10 grid using the coordinate transformation (r', c') = (c, 9 - r)."
