Task,gemma-4-31b-it
006a28fd.json,"Reflect points of color 3 and 4 across the grid center. The new position of color 4 is its reflected coordinate, and the new position of color 3 is shifted from the reflected color 4 point toward the reflected color 3 point by a distance of D-1, where D is the original Chebyshev distance between the two points."
0032aa67.json,"The output grid is primarily background color 5. For every cell containing 0 in the input, its orthogonal neighbors (up, down, left, right) are colored based on the column index of the original 0: columns 0, 4, 5, and 9 result in color 2 (red), while columns 2, 6, 7, and 8 result in color 3 (green) or 1 (blue)."
0141f3e2.json,"The output position (top-left coordinate (y_out, x_out)) of each colored block is determined by the formulas: y_out = 15 - 2 * height and x_out = 15 - width - x_in, where x_in is the input top-left column coordinate."
01698463.json,"If a cell with value 2 is adjacent (horizontally or vertically) to a cell with value 3, the cell with value 2 is transformed into 0 and the cell with value 3 is transformed into 8."
016cdee0.json,"The grid is divided into a 3x3 layout by lines of color 8. The regions are filled based on their position: Top-Middle (1), Middle-Left (4), Middle-Middle (6), Middle-Right (3), and Bottom-Middle (2), while corners remain 0."
02879404.json,"For each non-zero pixel at (row, col) with color C, fill the row from column 0 to col by alternating between color C and color 5, ending with color C at the original pixel's position."
01cc6ddd.json,"The vertical and horizontal lines are shifted to new positions based on the formula: Out = (R_last + N) - In, where R_last is the row index of the last marker (color 5) and N is the number of markers. Markers are removed in the output."
02efdfc3.json,"Count the number of distinct 2x2 blocks of color 1 (blue) in the input grid and represent this count as a 1x5 grid with that many 1s right-aligned, filled with 0s otherwise."
065108e7.json,"For every 2x2 square of color 5 (grey), place four colored points around its perimeter: red (2) at top-left, blue (1) at top-right, yellow (4) at bottom-left, and green (3) at bottom-right, each offset by one pixel from the square's boundary."
04140079.json,"Swap the lengths of the first and third lines, assign colors based on length (longest=1, medium=4, shortest=2), and shift positions toward the top-left while maintaining relative order and line orientation."
089cca77.json,"Swap the colors of the four edges (Top↔Bottom, Left↔Right). Filter internal cells to keep only those matching original edge colors, then relocate them to the opposite edge (mirrored across the axis of movement) based on their color."
0840a35f.json,"Extract all non-zero elements from the input grid and sort them by their column index in ascending order. Divide this sequence of colors into three groups (as equal as possible). The output 3x3 grid is filled row-by-row using the sequence: (Reverse of Group 3), (Reverse of Group 2), and (Group 1)."
0ac8ac11.json,"Identify columns containing color 5, rank them by height in descending order, and replace the color 5 with colors 1, 2, 3, and 4 respectively based on that rank."
0accd120.json,"Identify four single-colored pixels as Top-Left (TL), Top-Right (TR), Bottom-Left (BL), and Bottom-Right (BR). Reflect the 2x2 azure square across the center of the grid and fill it such that the new Top-Left is BR, Top-Right is BL, Bottom-Left is TR, and Bottom-Right is TL."
0996401b.json,"Extract the rectangular region bounded by two identical columns containing a pattern of color 8 at the ends and color 5 in between, then rotate the extracted region 180 degrees."
0ce55d2b.json,"For each row and each color, identify the first and last occurrence of that color; fill all pixels between these two indices with that same color."
0c315230.json,"Reflect the azure shape (color 8) across a vertical axis determined by the position of the yellow shape's (color 4) top arm: if the arm is at column 3, reflect across C=2.5 (C' = 5-C); if at column 5, reflect across C=5.5 (C' = 11-C)."
0ed809b7.json,"Reflect all rectangular shapes of 1s across the center of the grid. Fill the interior of the reflected shapes with 7 if both dimensions are odd, and with 2 if either dimension is even."
10759c75.json,"Move the color of the first column to the last column, fill the diagonal from (0,0) to (N-2, N-2) with color 2, and fill the last row with color 4, except for the bottom-right cell which retains the original column color."
0f764732.json,"The output grid is formed by a logical operation between Grid 1 (7s) and Grid 2 (2s), where the output is 3 if G1(r,c) == 7 and G2(r,c) == 0, followed by a spatial transformation (mirroring or rotation)."
12183ad6.json,"Identify a rectangular region of a background color containing foreground color pixels. The output grid size matches the region's dimensions. A cell in the output is the foreground color if its row or column index matches the relative coordinates of any foreground pixel in the input region; otherwise, it is the background color."
10f0ecfd.json,"Shifted the shape up by one row and applied a horizontal shift based on the rule max(target_min_col - min_col_of_row, shape_shift), where target_min_col = 0 and shape_shift = -2."
146270d7.json,"Rotate the input grid 180 degrees to create a base pattern. The output is a 9x9 grid composed of 3x3 blocks; a block is filled with the base pattern if the corresponding cell in the base pattern is non-zero, otherwise it is filled with zeros."
14719dd1.json,"Extracts the vertical and horizontal color sequences, swaps the intersection value with the first element of each sequence, and places these modified sequences as a cross centered at a calculated position (row 11, col 6) in the output grid."
162acd53.json,"Count the number of 1s in the input grid (n) and place n 2s in the output grid following a specific priority order: (0, 2), then (0, 1), then (0, 0), then (1, 1)."
15256387.json,"Identify shapes consisting of a 2x2 block and a 1x1 block. Reorder the shapes based on their original left-most x-coordinates in descending order and reposition them on a new row (row 3), maintaining their relative horizontal distances while shifting the entire group to fit within the grid boundaries."
1759154f.json,"For every cell with color 2, create a 3x3 square of color 1 centered at that cell, keeping the center cell as color 2. All other cells remain unchanged."
1777a517.json,"For every coordinate (r, c) of color 8 in a grid of size HxW, the output grid has color 2 at coordinate (H-2-r, W-1-c)."
1d3949d2.json,"For each column in the input, extract the non-zero colors in top-to-bottom order and place them at the bottom of the mirrored column (W-1-c) in the output grid."
1d3e8765.json,"The output is 8 if a continuous path of azure pixels (color 8) connects the two 2x2 blocks of red pixels (color 2), otherwise it is 0."
1dfa8184.json,"Starting from the cell containing 8, create a path of 5s by alternating movements of 2 cells up and 2 cells left (extending to the boundary), and 2 cells down and 2 cells right (extending to the boundary)."
1e3bf778.json,"The input pixel moves to a new position based on its row and column: row increases by 1 (unless at the bottom), and column shifts by (row-2)*2. Additionally, color 4 fills odd columns from row 0 to row r-1 if the input column is odd."
1f4376ba.json,The concentric layers of the grid are rotated such that the new layer value $L_i'$ is determined by the input layer $L_{(i+2) \pmod 3}$.
1fa17451.json,"The output consists of vertical stripes if the row distance between the two input points is greater than the column distance. The stripes alternate colors based on the input points' colors, with a spacing equal to the column distance, starting from the smallest column index ≥ 5 that matches the modulo of the minimum input column."
20d12acf.json,"Shapes of color 5 are repositioned (top to bottom, bottom-left to middle-left, bottom-right to top-right) and their internal holes are filled with color 2."
2127b16f.json,"Identify the 3x3 shape containing the color 8, replace the 8 with the shape's primary color, and rotate the resulting 3x3 grid by 180 degrees."
20ed1f06.json,"Hollow grey rectangles (color 5) are transformed based on their interior size: 1x1 interior becomes 2x2 interior (color 7), 2x2 interior becomes 3x3 interior (color 8), and 3x3 interior becomes 1x1 interior (color 6), while maintaining their relative positions."
26871f8c.json,"Identify the midpoint between the two blue cells (color 1) and place a green cross (color 3) centered at that midpoint, while keeping the original blue cells."
26073685.json,Identify rectangular blocks of color 5 and replace their interior cells (those not on the boundary) with color 2.
27004abf.json,"Create a checkerboard pattern using the colors from the two input rows, where cells are colored based on whether the sum of their row and column indices is even or odd."
26c16007.json,The output grid is an identical copy of the input grid (identity transformation).
2753806b.json,Identify the most frequent number in the input grid and fill the entire output grid with that number.
279afbc0.json,"Identify the special cell at the end of a row or column cluster. If the special cell is at the top end of a column cluster, draw a line of the special color downwards to the edge of the grid, skipping the cells within the cluster."
27af16ac.json,"The output is a 3x3 grid where the center (1,1) is color 5. Other colors are placed based on their relative position to their nearest anchor (color 5) in the input, rotated 180 degrees around that anchor: r_out = 1 - (r - r5) and c_out = 1 - (c - c5)."
27fdb69e.json,"Each 3x3 section separated by lines of 5s is filled with a value equal to the single non-zero digit present in that section plus 5, while the lines of 5s remain unchanged."
28a465a2.json,"Identify grey shapes and assign them colors based on the last row of the input. Transform each shape by mirroring its position (T_out=B_in, L_out=R_in) and place single pixels of the corresponding colors in the first row at mirrored column positions."
28b2a9ce.json,"Objects of color 5 are rotated 180 degrees around the center of the 10x10 grid. The new color is determined by the object's size: 4 cells become color 1, 3 cells become color 2, and 2 cells become color 3."
298ad750.json,"Identify unique colors in order of first appearance (scanning row-by-row, then column-by-column). If all first appear in the same row, output a 1xN row vector; otherwise, output an Nx1 column vector."
2f05214d.json,"Identify the block of non-zero rows at the bottom, reverse their order, and place the reversed block at the top of the grid while keeping the original bottom block in place."
2f33ea3c.json,Replace all occurrences of the number 7 with the number 5.
2b6a9f90.json,"Rotate the corners (color 3) 180 degrees around the grid center, rotate the shape (color 2) 180 degrees around its own center, and reposition the rotated shape so its center aligns with the center of the new corners."
30654559.json,Divide the 5x5 grid into four 2x2 quadrants using the middle row and column as separators. The output is the quadrant that differs from the other three.
30597de3.json,Identify the color appearing exactly four times and create a cross pattern centered at the midpoint of the diamond formed by those four points.
32d38173.json,Reflect each solid colored rectangle across the center of the grid and transform the resulting rectangles into hollow boundaries of the same color.
333eeb10.json,Identify objects with identical shapes; the object furthest from the reference object (color 5) has its color changed to 5.
33c502e7.json,"Identify a rectangular border and move interior pixels to symmetric positions outside the border: pixels at (top+1, left+1) move to (bottom+1, right+1), (top+1, right-1) move to (bottom+1, left-1), (bottom-1, left+1) move to (top-1, right+1), and (bottom-1, right-1) move to (top-1, left-1)."
35f2856d.json,"For every row, if a 0 is positioned exactly between two 1s (horizontally), that 0 is changed to a 2."
34c60cc3.json,"Swap the colors of the two 2x2 blocks and shift them by (0, -2) because the red block is below the blue block. Add a red diagonal extension from the top-right corner of the new red block moving up-right, and a blue diagonal extension from the bottom-left corner of the new blue block moving down-left."
36c12a5f.json,"Reverse each row of the input grid to create a temporary grid, then mirror that grid vertically to produce the final output."
379a97c8.json,Identify the marker color and the background region colors. Count the occurrences of the marker color within each region; the output is the color of the region containing the most markers.
38455844.json,"Each cell of color 5 in the input grid is replaced by a 3x3 block of color 1 (blue), with the original cell of color 5 remaining as the center of the block."
3903a066.json,Mirror the color 2 boxes across the center axis and move the color 5 shapes from the outer edges to the inner center region between the boxes.
39084080.json,"Cells with value 4 are replaced by the value at their point-symmetric position (15-r, 15-c) from the input grid; all other cells remain unchanged."
3c8bb2cc.json,Identify a 3x3 ring of a single color and output the color of the center pixel.
39d0b1c0.json,"Each row is concatenated with its horizontal mirror, and the resulting rows are arranged in a vertical mirror sequence (bottom-to-top, then top-to-bottom)."
3cc81a10.json,Reverse the order of the columns and mirror the non-zero values from the bottom of each input column to the top of the corresponding output column.
3cefc7a8.json,The output grid doubles the number of columns. Each row is formed by repeating the input row twice and then shifting the resulting sequence left by one position.
3e8aa4f8.json,Extract the smallest bounding box containing all non-1 colored cells and replace all occurrences of color 1 within that subgrid with color 0.
3d85ae43.json,"Remove the central column (index 4), mirror the left half (columns 0-3) horizontally, overlay it with the right half (columns 5-8) using a logical OR, and swap the two primary colors present in the grid."
40e4dbe8.json,"Identify the most frequent color in the 3x3 input grid. Create a 9x9 grid where the original 3x3 input grid is placed in blocks B(r, c) corresponding to the positions (r, c) of the most frequent color in the input grid; all other blocks are filled with 0."
3f163f06.json,"Identify the three non-zero rows (R1, R2, R3). For an even grid height, repeat the block (R1, R3, R2) until the grid is filled."
423950e7.json,"Create a pyramid shape starting from the top of the orange (7) vertical line. For each cell (r, c) in the pyramid, the color is 7 if the horizontal distance from the center column is even, and 8 if the distance is odd."
42707d72.json,"The output grid is a 10-row grid of width W where each row contains a single '1' and the rest are '8's. The position of the '1' follows a bouncing sequence (1, 2, ..., W, W-1, ..., 2, 1, ...) such that the '1' in the 10th row is always at column W."
42b19113.json,Each row of the 3x3 input is transformed into a 6-element row by concatenating its reverse with itself. The resulting 3x6 top half is then vertically mirrored to create the bottom half of the 6x6 output grid.
428da2ab.json,"Extract distinct colored shapes, rotate each 180 degrees within its own bounding box, and place them into a 3x3 grid, with smaller shapes taking precedence over larger ones during overlap."
43eca892.json,"Identify colors with the maximum pixel count, order them by their leftmost occurrence in the input grid, and create a grid where each row consists of these ordered colors, with the height equal to the maximum pixel count."
43343337.json,"The red object (color 2) moves toward the azure object (color 8) along the axis of separation, stopping exactly one unit away from the azure object's boundary."
44b16e16.json,"Extract the bounding box of the small, compact object formed by the special color and transpose the resulting grid if the color is even or the box is square."
4562c968.json,"The 8-shape consists of a block and a stem. The block's x-range is always 3-6, and its y-range is [GapY-4, GapY-(7-Height)]. The stem is always at x=5, extending from the block's edge to the grid boundary in the direction opposite to the gap's position relative to the block. The gap in the 5-shape is filled with a 5, and any 5s overlapping the 8-shape are replaced by 8s."
46b0470d.json,"Connect pairs of the same color with lines (vertical if they share a column, horizontal if they share a row). Vertical lines take precedence over horizontal lines at intersection points."
472df331.json,"Identify the largest connected component, crop the grid to its bounding box, and rotate the resulting crop 180 degrees."
47e179ef.json,"Identify a 2x2 square and outside points of the same color. Extend diagonal lines passing through these points: if a point is above the square, extend the diagonal from row 0 to the square's bottom; if below, extend from the square's top to row 9."
4832b551.json,"Rotate the input grid 180 degrees and scale it by a factor of 5. In the resulting 25x25 grid, place color 2 diagonals in the 5x5 blocks corresponding to the corners of the 0-region of the rotated grid, provided those blocks are otherwise empty."
48c36203.json,"The color of each row in the output grid is determined by the column index of the value 5 in the input row: Column 0 maps to 3, Column 1 maps to 4, and Column 2 maps to 2."
4888abd4.json,"The output is a 180-degree rotation of the input grid, where the largest rectangle of 0s with a height greater than 1 in the original input is replaced by 6s in its rotated position."
49e49c08.json,"The output row and column are reflections of the input row and column across the center of the 6x6 grid (output = 5 - input). A red line is placed in the output row, an azure line in the output column, and their intersection is colored yellow."
49f61db2.json,"For each row r with colors at (r, 0) = colorA and (r, 10) = colorB, create a new row at index (4 - r) where columns 0-4 are colorB, column 5 is 5, and columns 6-10 are colorA; all other cells are 0."
49fe3175.json,"2x2 upscale of the input grid, where each cell is replaced by a 2x2 block of the same value."
4a8c24bd.json,Shifted input rows to the bottom. Created a new pattern P from Input Row 0 by swapping the outer color with the inner color and setting the inner color to 0. Split P into symmetric pairs and placed them in rows above the shifted input.
4c2c57cc.json,The input grid is duplicated horizontally by concatenating it with an identical copy of itself side-by-side.
4afb2405.json,"The output grid is constructed by:
1. Setting the first column as the reverse of the input's last column.
2. Shifting all grey blocks (value 5) up by one row.
3. Filling each shifted block with colors from the reversed last column, where the color for each row in the block corresponds to the value at that row index in the reversed last column.
4. Clipping any blocks that move out of the grid boundaries."
4cd2b851.json,The output grid dimensions are determined by the number of segments created by the divider lines (rows and columns of a single color). The output is a grid of size (number of row-segments) x (number of column-segments) filled with the background color.
4d4e8ee1.json,"The output is a 4x4 grid where a cell is 3 if (Grid A=2 and Grid B=0) or (Grid A=0 and Grid B=1), and 0 otherwise."
4e008736.json,"The cross is removed, and the foreground pixels in the top-right quadrant are reflected across the horizontal and vertical axes to create a symmetric pattern in all four quadrants, with all resulting pixels colored with the cross color."
500c99c2.json,"Mirrored input 1s to centers (9-r, 9-c), sorted them, and placed a 7-1-6-2 pattern (left, center, right, bottom) at each center, with an 8 placed above every center except the first."
510bd7f3.json,Pixels outside the azure (8) block project their colors onto the nearest boundary pixel of the block if they share the same row or column.
51389ffd.json,"Shifted diagonal lines $x+y=C$ by $k=(grid\_size-3)//2$ to $x+y=C-k$, and applied an alternating color pattern between the original color (6) and color 4 based on the parity of the row index and the line sum."
5208ebb6.json,"Any cell containing the value '2' that is not 4-connected to another cell containing '2' (i.e., it is isolated) is changed to '1'."
529aa2b6.json,"Identify the minimum and maximum column indices of all 8s in the grid. For every row containing at least one 8, replace all 0s between these column boundaries with 2s."
539f0bae.json,"For each input square of size S, border color B, and center color C, create a concentric structure: an outer border of color B (size 2S if S is even, 2S-1 if S is odd), a middle square of color C (size S), and an inner square of color B (size S-2), with corners of the outer border removed."
53d0b4eb.json,"Identify a pattern block (non-zero, non-8 colors) and placeholder blocks (color 8). Replace each placeholder block with the pattern block's colors and remove the original pattern block."
53d69548.json,"Reflect red cells (value 2) across the center of the grid. Identify adjacent red cell pairs in the input, reflect their positions, and fill the 3x3 neighborhoods around these reflected positions with green cells (value 3), while preserving the reflected red cells."
54e85cec.json,"The output grid size is determined by multiplying the input grid dimensions by the number of unique non-zero colors (M). The input grid is rotated 180 degrees, and each cell is then expanded into an M x M block of the same color."
553e6fa8.json,"The input grid is split into two 4x4 blocks. One block contains a template shape (color 8), and the other contains seed pixels of various colors. The output is a 16x16 grid where each seed pixel is replaced by the template shape, maintaining the seed's original color."
55d755bc.json,"The transformation identifies nested rectangular regions of different colors and represents them as concentric shells in a square grid of size (2n-1)x(2n-1), where n is the number of layers including the background."
56d298af.json,Each cell in the 3x3 input grid is expanded into a 3x3 block of the same value in a 9x9 output grid.
5610cb37.json,"Identify all contiguous blocks of a single color and output the smallest block, maintaining its original dimensions and color."
5ae30cdc.json,"The output is a 9x4 grid created from a 3x2 input. A 3x4 block is first formed by arranging columns as [C1, reverse(C2), reverse(C2), C1]. The final grid is then constructed by repeating this block in the row sequence: [Block, reverse_rows(Block), Block]."
59addbdf.json,"The grid is formed by two rows and two columns. Rows are determined by the row indices of points A and B, with colors swapped. Columns are determined by a fixed index (2) and a calculated index (2 + abs(cA - cB)), with colors assigned to each. Intersections are colored based on whether the row and column colors match (same color) or differ (color 2)."
5b226720.json,The output grid expands the input by adding a top and bottom row. The top row is the first input row padded with zeros; the bottom row is the last input row padded with zeros. The middle rows are the input rows where the first and last elements are duplicated.
5b16183e.json,"Clusters of 1s that form a closed loop enclosing at least one 0 isolated from the background are changed to 3s; otherwise, they remain 1s."
5bed5c90.json,"The output grid dimensions match the red frame (color 2) from the input. The outer boundary is filled with color 2, and the interior is filled by scaling the other colored shape to fit the interior dimensions, expanding each pixel of the original shape into a block."
5c389d56.json,"The output is a 2x2 tiling of the input grid: the bottom-left is the original, the top-right is rotated 180°, the top-left is the transpose flipped horizontally, and the bottom-right is the transpose flipped vertically."
5d54d1ce.json,"Reflect input clusters through the center of the 10x10 grid, determine the median diagonal (r-c = k) for each reflected cluster, and extend that diagonal in the direction opposite to the cluster's position relative to the center."
5df2a9c2.json,"Each 3x3 cross is expanded into a 5x5 pattern. The center of the pattern shifts based on the arm color A: if A is odd, the shift is (-1, 1); if A is even, the shift is (1, 0). The 5x5 pattern consists of a center cell C, arm cells A, and corner-like cells C arranged in a specific symmetric grid."
5f48c387.json,"Divide the input into a 3x3 grid of blocks; if a block contains the structure color (8), the corresponding cell in the output grid is the foreground color (4), otherwise it is 0."
5f5dd8c1.json,"Identify contiguous non-zero, non-eight objects, sort them by length in descending order, and place them in rows 1 through N, right-aligned. Row 0 remains all 8s, and all other cells are filled with 0."
6077f26e.json,"The output is a 4x4 grid divided into four 2x2 quadrants. Each quadrant contains a specific L-shape (TL: Shape B, TR: Shape A, BL: Shape C, BR: Shape D). The colors are mapped from the input shapes: TL gets Shape D's color, TR gets Shape C's color, BL gets Shape A's color, and BR gets Shape B's color."
609c6a0c.json,The output grid is formed by identifying a repeating block of $n$ rows (where $n$ is the number of unique non-zero values in the input). This block is extracted from the bottom $n$ rows of the input grid and repeated vertically to fill the $18 \times 18$ output.
623c4969.json,Identify rectangles formed by four '4's at the corners and fill their interior cells with the value '2'.
63a29bef.json,Identify the multi-colored pattern block and replace all blocks consisting solely of color 5 (placeholders) with copies of that pattern block.
620b85d4.json,Extracted the final predicted grid from the reasoning text.
64a36678.json,"Reverse the columns and fill each output column from row 0 down to row (2 - r), where r is the row index of the non-zero value in the corresponding input column."
662a8415.json,"Extract the internal area enclosed by the border, replace cells with value 8 with the value of the closest grid corner based on Manhattan distance, and rotate the resulting internal area by 180 degrees."
6686d16a.json,"The input grid is divided into three 3x3 sections separated by grey columns. Section 1 is a 180-degree rotation of Section 3, Section 2 is a 90-degree clockwise rotation of Section 3, and Section 3 remains unchanged."
67a99293.json,"The input grid is split into two 5x3 halves by a central blue column. The output grid is 5x3, where a pixel is azure (8) if the corresponding pixels in both the left and right halves are black (0), and black (0) otherwise."
688e2203.json,"Identify the bounding box of the non-zero object, crop the grid to this box, and reverse the order of elements in each row."
6c5e4a9e.json,The grid is divided into horizontal blocks (rows) and vertical sections (columns) based on color changes. The output is a compressed grid where each cell represents the color of the corresponding block/section intersection.
69e77709.json,Connect existing blocks of color 2 in a sequence using the shortest possible straight paths of color 9.
6cde2a05.json,"Identified a repeating row pattern (Row 0=3=6, Row 1=4, Row 2=5) and filled the 3x3 block of zeros using the corresponding values from the repeating rows."
6df2723f.json,"Divide the input into 3x3 blocks, identify the color with the highest frequency, extract its corresponding 3x3 block, and return the transpose of that block."
70f646e9.json,"Each row of the input grid is concatenated with its reverse to form a mirrored row, and the order of these resulting rows is then reversed vertically."
6fbbfb54.json,"Identify the 3x3 block containing color 4. Determine the relative position (r, c) of color 4 within that block. Move the entire 3x3 block to the output block position (r, c), while preserving the grey (color 5) dividing lines and clearing all other cells."
711598fa.json,"The output grid dimensions are determined by the size of the color 5 rectangle. The colors present in the input (excluding 0 and 5) are identified in their top-to-bottom order, reversed, and then used to fill the output grid as horizontal rows."
712f2950.json,"The output is a 6x6 circulant-like matrix generated by shifting a 6-element sequence. The sequence is formed by taking the non-zero elements of the 3x3 input grid in reverse order of their appearance (bottom-to-top, right-to-left), followed by zeros to fill the 6-element length. This sequence is then shifted right by one position for each subsequent row, starting from the bottom row."
71d290e3.json,"Create vertical lines of color 8 at the columns of the single pixels and a horizontal line of color 8 at the row of one of the single pixels. The inner shape (color 8) is placed within the frame (color 1), but pixels intersecting the lines are set to color 1 within the inner shape and color 8 on the frame."
722ffc5e.json,Divide the 9x9 input grid into nine 3x3 blocks. The value of each cell in the resulting 3x3 output grid is the most frequent color (mode) within the corresponding 3x3 block.
73a440b8.json,"Extract color pairs from odd rows (L, R), reverse them to (R, L), and place them in row r' = 9 - r. If the colors in the pair are identical, fill the entire row with that color; otherwise, place them only at the edges."
73e04752.json,"Fill columns J <= C with color X if J has the same parity as C. For columns J <= C with opposite parity (gap columns g1, g2, ...), place color 5 in Row 0 and Row 9 alternatingly: if C is odd, Row 0 gets g1, g3... and Row 9 gets g2, g4..."
72e235a3.json,"A ray of 3s extends from the end of the 8-ray in its current direction, reflecting off the wall of 2s by reversing the direction component perpendicular to the wall."
73f79e39.json,"The grid is transformed by mirroring the columns (new_col = 9 - old_col), reversing the row order, and extending the resulting alternating pattern to fill a 10x10 grid."
754b7d3e.json,"For each 2x2 block of non-zero colors, place a rectangle of color 3 directly above it. The width of the rectangle is 2, and its height equals the number of distinct colors present within the 2x2 block."
7849f121.json,"The output grid is a Kronecker-like expansion where each cell in the 3x3 input is replaced by an S x S block of the same value, where S is the count of non-zero elements in the input grid."
7b8e6f1a.json,Identify the shape formed by color 2 pixels and fill all other regions of color 0 that match this exact geometry with color 2.
79c74953.json,Count the number of 2x2 red (color 2) squares in the input grid and place that number of 1s in a 3x3 output grid following a fixed sequence of positions where row + column is even.
7bef9340.json,"The input grid is divided into cells by lines of 5s. The top-right cell is filled with color 3, the center cell with color 2, and the bottom-left cell with color 1, while all other cells remain 0."
7bcc5bb7.json,"For every solid rectangle of a single color with a height of 3, replace the middle row with an alternating pattern of (color, 0, color, 0, ...)."
7c65ff97.json,"The output is a square grid of size N x N, where N is the number of non-zero elements in the input row multiplied by 5. Each row i of the output grid is the input row shifted to the right by i positions, padded with zeros."
7c388707.json,"The input grid is divided into three 4x4 blocks. Each block's pattern of zeros determines a specific color: a 2x2 square at the top-center is color 4, zeros at the middle-row edges are color 3, and a 2x2 square in the center is color 8. The output is a 3x3 grid where each row is filled with the color corresponding to the respective block."
7eed9e2b.json,"For each colored cell at (r, c), a corner is placed at (height-1-r, width-1). A horizontal arm of the same color extends from (height-1-r, width-1-c) to the corner. Vertical arms in the last column are partitioned based on the sorted order of the corner rows."
