Task,gemini-3.5-flash-lite
00807511.json,"Locate rows with gray segments, rank them by length in ascending order, and replace the gray blocks with colors corresponding to their rank (shortest=Yellow, 2nd=Green, 3rd=Red, longest=Blue)."
02b90a86.json,The grid is partitioned into four quadrants. The output is the sub-grid corresponding to the unique odd-one-out quadrant that has a different dominant color from the other three.
04597b99.json,"Swapped colors based on a fixed pairing rule: blue (1) with grey (5), green (3) with yellow (4), and teal (8) with maroon (9)."
04d98714.json,"For each column, if the non-zero color in Row 0 matches the non-zero color in Row 9, draw a vertical line of that color from Row 1 through Row 8. Otherwise, leave the intermediate rows as 0."
0756af10.json,"Compare the left and right 3x3 subgrids separated by a column of 5s. Where both have a 1 at the same position, place a 2 in the output grid; otherwise, place a 0."
0345c497.json,"Teal shapes appearing in identical pairs are colored blue (1), while unique shapes without a matching counterpart are colored red (2)."
09b9795f.json,Extracted the minimal bounding box containing the unique colored object (color 2) from the input grid.
09981733.json,Collects the relative positions of colored pixels surrounding each gray center (5) in the input grid and combines them into a single 3x3 output grid with a central 5.
0c869943.json,"Locate the shape in the top-right corner, find the identical shape elsewhere in the grid, and change its color to 5."
0cb2035d.json,"Locate the two blue pixels (value 1) in the input grid, find their midpoint, and place a 3x3 green plus sign (value 3) centered at that midpoint."
0abfe15d.json,Vertically reflect the grid structure while mapping symmetrical columns based on the input's right-side marker positions to both left and right sides.
0d3a8861.json,"The movable object slides towards the stationary object along its tail axis, bridging the gap until it touches the stationary object while its tail is absorbed."
0e6ceb07.json,Extracted the bounding box of non-zero colored pixels and duplicated it horizontally to form the final output grid.
0fc34bbe.json,"Count the number of unique colors in the input grid. If there is 1, place 5s in the first column; if 2, place 5s along the anti-diagonal; if 3, place 5s along the main diagonal, with 0s everywhere else."
11e1baac.json,Locate solid gray (5) rectangular regions and change their interior pixels (excluding the 1-pixel outer border) to red (2).
11fd03a7.json,"Objects extend vertical lines of their color downward to the bottom row, and the bottom row is horizontally filled in contiguous segments from left to right corresponding to each object's column."
123ba31f.json,"Identify background pixels (0) completely enclosed by red borders (2) and fill their interior with blue pixels (1), leaving the exterior background pixels unchanged."
15fbef43.json,"Connect pairs of pixels with the value 8 that share the same row or column with straight lines of 8s, leaving isolated pixels unchanged."
15628fa1.json,"Determine the dominant color for each column (or group of columns), and fill the entire vertical band with that color from top to bottom."
16ef6bfa.json,"Find the unique element that appears only once in the input grid, and generate a 10x10 output grid filled with zeros except for a 3x3 block centered at that element's location, with the unique digit in the center and '2's in the 8 surrounding cells."
