Task,gemini-3.5-flash-lite
007bbfb7.json,"The 3x3 input expands to a 9x9 output grid consisting of a 3x3 arrangement of 3x3 blocks. If an input cell is non-zero, the corresponding block is a full copy of the input grid; if zero, the block is filled with zeros."
025d127b.json,"Applied a row-specific horizontal shear transformation to the 5-row hollow parallelogram shape, shifting boundaries and redrawing top/bottom rows as solid bars."
017c7c7b.json,"Convert all pixels with value 1 to 2, split the input into two 3x3 vertical blocks A and B, and construct a 9x9 (or 9x3) output by repeating the blocks vertically (A, B, A if A equals B)."
00d62c1b.json,"Identify closed loops or enclosed cavities of background pixels (0) completely trapped inside boundaries formed by color (3) pixels, and fill those enclosed interior regions with yellow (4)."
0520fde7.json,"Perform an element-wise logical AND between the left and right 3x3 subgrids, and replace any resulting 1s with 2s in the output grid."
045e512c.json,"The input grid contains a template shape (color 8) that remains fixed, and various colored target lines. Vertical lines produce horizontal copies of the template in the target color, while horizontal lines produce vertical copies, with lengths corresponding to the line sizes."
05269061.json,"Fill the 7x7 output grid with a repeating 3-element sequence [2, 4, 1] based on the (r + c) mod 3 residue pattern derived from the input grid."
05f2a901.json,The red object moves along the alignment axis directly toward the teal anchor object until it touches it.
06df4c85.json,"Connect points of the same non-zero color using vertical and horizontal line segments (Manhattan paths) on the cell grid, delineated by the background grid lines."
08ed6ac7.json,"Identify vertical bars of grey pixels, rank them by height from tallest to shortest, and replace them with specific colors corresponding to their rank (1 for tallest, 2 for second, etc.)."
0962bcdd.json,"Replace each cross-shaped pattern (center color C, arm color A) with a 5x5 symmetrical pattern where C forms a diagonal cross (X shape) and A forms an orthogonal cross (+ shape) of radius 2."
09629e4f.json,"The 11x11 grid consists of a 3x3 layout of 3x3 sub-grids separated by rows and columns of 5s. Based on the input, four specific sub-grids are filled entirely with the digits 2, 3, 4, and 6, while the remaining sub-grids are set to 0."
0b148d64.json,"Identify the single quadrant with the unique color out of the four quadrants separated by lines of zeros, and output that quadrant."
0ca9ddb6.json,"Red pixels (2) generate yellow (4) pixels in an X shape (diagonals), and blue pixels (1) generate orange (7) pixels in a plus shape (orthogonals). Other colored pixels remain unchanged."
0a938d79.json,"Based on the positions and colors of two seed points, the grid is filled with repeating vertical stripes where the column period is defined by the row difference ($\Delta r$) and the stripe offset by the column difference ($\Delta c$)."
0d3d703e.json,"Applied a consistent color-substitution (digit-mapping) rule uniformly across the grid, where each digit is replaced by its corresponding mapped value."
0dfd9992.json,"Reconstructed the grid by repeating the underlying periodic background tile pattern across the entire grid, filling in corrupted or missing black pixels based on modulo coordinates."
11852cab.json,Enforce full two-fold symmetry: make the grid both horizontally symmetrical (mirroring left and right across the central column) and vertically symmetrical (mirroring rows above and below the central row).
10fcaaa3.json,"Transforms the input into a 2x2 tiled output where even rows become alternating 8 and 0, odd rows are duplicated horizontally, and the resulting block is duplicated vertically."
0e206a2e.json,The puzzle involves template matching where objects (Group 1 and Group 2) interact with predefined templates containing structural arms (5s) to complete the final grid configuration based on spatial positioning and component merging rules.
1190e5a7.json,"Count the number of horizontal and vertical dividing lines to determine the output dimensions (lines + 1), and fill the resulting grid entirely with the background color."
137eaa0f.json,"Extracted the local 3x3 neighborhoods around each '5' anchor in the input grid and combined them into a single composite 3x3 output grid centered at (1, 1)."
150deff5.json,"Transform gray shapes by coloring segments of length 3 aligned with rows/columns that are multiples of 3 in red, and fill the remaining parts with cyan."
