Task,gemma-4-31b-it
01698463.json,"If a cell with value 2 is adjacent (horizontally or vertically) to a cell with value 3, the cell with value 2 is transformed into 0 and the cell with value 3 is transformed into 8."
016cdee0.json,"The grid is divided into a 3x3 layout by lines of color 8. The regions are filled based on their position: Top-Middle (1), Middle-Left (4), Middle-Middle (6), Middle-Right (3), and Bottom-Middle (2), while corners remain 0."
02879404.json,"For each non-zero pixel at (row, col) with color C, fill the row from column 0 to col by alternating between color C and color 5, ending with color C at the original pixel's position."
065108e7.json,"For every 2x2 square of color 5 (grey), place four colored points around its perimeter: red (2) at top-left, blue (1) at top-right, yellow (4) at bottom-left, and green (3) at bottom-right, each offset by one pixel from the square's boundary."
0840a35f.json,"Extract all non-zero elements from the input grid and sort them by their column index in ascending order. Divide this sequence of colors into three groups (as equal as possible). The output 3x3 grid is filled row-by-row using the sequence: (Reverse of Group 3), (Reverse of Group 2), and (Group 1)."
0ac8ac11.json,"Identify columns containing color 5, rank them by height in descending order, and replace the color 5 with colors 1, 2, 3, and 4 respectively based on that rank."
0ce55d2b.json,"For each row and each color, identify the first and last occurrence of that color; fill all pixels between these two indices with that same color."
0c315230.json,"Reflect the azure shape (color 8) across a vertical axis determined by the position of the yellow shape's (color 4) top arm: if the arm is at column 3, reflect across C=2.5 (C' = 5-C); if at column 5, reflect across C=5.5 (C' = 11-C)."
12183ad6.json,"Identify a rectangular region of a background color containing foreground color pixels. The output grid size matches the region's dimensions. A cell in the output is the foreground color if its row or column index matches the relative coordinates of any foreground pixel in the input region; otherwise, it is the background color."
1759154f.json,"For every cell with color 2, create a 3x3 square of color 1 centered at that cell, keeping the center cell as color 2. All other cells remain unchanged."
1d3e8765.json,"The output is 8 if a continuous path of azure pixels (color 8) connects the two 2x2 blocks of red pixels (color 2), otherwise it is 0."
1dfa8184.json,"Starting from the cell containing 8, create a path of 5s by alternating movements of 2 cells up and 2 cells left (extending to the boundary), and 2 cells down and 2 cells right (extending to the boundary)."
1f4376ba.json,The concentric layers of the grid are rotated such that the new layer value $L_i'$ is determined by the input layer $L_{(i+2) \pmod 3}$.
26871f8c.json,"Identify the midpoint between the two blue cells (color 1) and place a green cross (color 3) centered at that midpoint, while keeping the original blue cells."
26073685.json,Identify rectangular blocks of color 5 and replace their interior cells (those not on the boundary) with color 2.
27004abf.json,"Create a checkerboard pattern using the colors from the two input rows, where cells are colored based on whether the sum of their row and column indices is even or odd."
279afbc0.json,"Identify the special cell at the end of a row or column cluster. If the special cell is at the top end of a column cluster, draw a line of the special color downwards to the edge of the grid, skipping the cells within the cluster."
27fdb69e.json,"Each 3x3 section separated by lines of 5s is filled with a value equal to the single non-zero digit present in that section plus 5, while the lines of 5s remain unchanged."
298ad750.json,"Identify unique colors in order of first appearance (scanning row-by-row, then column-by-column). If all first appear in the same row, output a 1xN row vector; otherwise, output an Nx1 column vector."
2f33ea3c.json,Replace all occurrences of the number 7 with the number 5.
30654559.json,Divide the 5x5 grid into four 2x2 quadrants using the middle row and column as separators. The output is the quadrant that differs from the other three.
333eeb10.json,Identify objects with identical shapes; the object furthest from the reference object (color 5) has its color changed to 5.
33c502e7.json,"Identify a rectangular border and move interior pixels to symmetric positions outside the border: pixels at (top+1, left+1) move to (bottom+1, right+1), (top+1, right-1) move to (bottom+1, left-1), (bottom-1, left+1) move to (top-1, right+1), and (bottom-1, right-1) move to (top-1, left-1)."
35f2856d.json,"For every row, if a 0 is positioned exactly between two 1s (horizontally), that 0 is changed to a 2."
39084080.json,"Cells with value 4 are replaced by the value at their point-symmetric position (15-r, 15-c) from the input grid; all other cells remain unchanged."
39d0b1c0.json,"Each row is concatenated with its horizontal mirror, and the resulting rows are arranged in a vertical mirror sequence (bottom-to-top, then top-to-bottom)."
3cefc7a8.json,The output grid doubles the number of columns. Each row is formed by repeating the input row twice and then shifting the resulting sequence left by one position.
3e8aa4f8.json,Extract the smallest bounding box containing all non-1 colored cells and replace all occurrences of color 1 within that subgrid with color 0.
40e4dbe8.json,"Identify the most frequent color in the 3x3 input grid. Create a 9x9 grid where the original 3x3 input grid is placed in blocks B(r, c) corresponding to the positions (r, c) of the most frequent color in the input grid; all other blocks are filled with 0."
3f163f06.json,"Identify the three non-zero rows (R1, R2, R3). For an even grid height, repeat the block (R1, R3, R2) until the grid is filled."
