Task,gemini-3.5-flash-lite
0424068e.json,"The output grid consists of alternating rows: even rows copy the input's Row 0, while odd rows place copies of non-3 values from Row 0 into adjacent columns ($c-1$ and $c+1$), with all other positions set to 3."
03183f6c.json,"Extract the colors of the concentric layers from outside to inside, reverse the sequence, and reconstruct the grid with the reversed layer colors."
00365435.json,"Count the frequencies of the four non-background colors, exclude the most frequent one, and output the remaining three colors vertically in descending order of their frequency."
0282cb69.json,"Create an alternating checkerboard pattern using the two colors from the input rows: row 1 alternates A and B starting with A, and row 2 alternates B and A starting with B."
05685e50.json,"Count the frequency of each non-background color, select the colors with the maximum frequency, and order them from left to right based on their first appearance in the input grid. Construct an output grid where the number of rows equals the maximum frequency, the number of columns equals the number of selected colors, and each column is filled vertically with its corresponding color."
0432b0f5.json,"Count the frequency of each color in the input to determine the output dimensions (width = number of distinct colors, height = maximum frequency). Arrange the columns in descending order of color frequency, filling the top cells with the corresponding color and the remaining cells below with yellow (4)."
04c6c782.json,"Remove any corruptions/disruptions (such as magenta 6s) and restore the continuous repeating diagonal background pattern where each cell at (r, c) follows a repeating sequence based on (r + c) % N."
05e33f10.json,"External colored pixels project orthogonally onto the nearest edge of the central yellow block, while remaining in their original positions."
07442552.json,"For each row, fill all horizontal cells strictly between the first and second occurrence of any non-background color with that color."
0930abd3.json,Identify the distinct colored source pattern and stamp copies of it into all matching rectangular regions of black pixels in the grid.
0a1d99df.json,Extract the subgrid enclosed strictly inside the outer rectangular frame of the input grid.
072e21f2.json,The top-left shape is recolored to match the separator color and replicated across all four quadrants with appropriate horizontal and vertical reflections (2x2 symmetrical arrangement).
0a8bed1d.json,"Gray (5) pixels fall straight down through any intermediate blue (1) pixels and land on the very bottom row, replacing the blue pixels at those column positions, while leaving their original positions empty (0)."
0a371909.json,Extract the value of a single pixel that is completely enclosed on all four orthogonal sides by adjacent pixels of a different uniform color.
0b8330e5.json,"Split the 6x3 input into top and bottom halves, replace all background pixels (0) with (2), and vertically concatenate them in the order: [Top] + [Bottom] + [Top] to form a 9x3 output grid."
0d04cd07.json,Each row of the grid is horizontally reversed (left-to-right flip).
0b89ad32.json,"Rows consisting entirely of the value 2 float to the top of the grid, while the remaining rows shift downward."
0cfdfac6.json,"For each vertical column of turquoise pixels (8), calculate its height H, and change the bottom half ($\lfloor H / 2 \rfloor$) of the pixels in that column to red (2), leaving the upper pixels as 8."
10daf7f9.json,"Locate the anchor row with $N$ ones. Rows above the anchor are filled with $N + k$ threes (where $k$ is the distance above), the anchor row remains unchanged, and rows below are filled with $N - k$ twos (where $k$ is the distance below), with remaining cells set to zero."
0f3001ec.json,Identify the anomalous noise color (isolated single pixels) and replace each noise pixel with the most frequent color among its 8-connected neighbors.
0e6078f0.json,"Draw horizontal and vertical lines of color 1 passing through the center of each 5x5 teal box, extending across the entire grid while preserving the box borders at the intersection points."
0e03c37a.json,Swapped the rows and columns of the input grid (matrix transposition).
111016a2.json,Identify the unique hollow rectangular object in the grid and output its color digit.
12cc680a.json,Created a grid with the dimensions of the bounding box and swapped the outer and inner colors of the shape.
