Task,gemma-4-31b-it
02c34d94.json,Identify all rectangles whose boundaries consist entirely of 2s and replace all 0s within their interiors with 1s.
00138e4f.json,"The grid is divided into 2x2 cells by lines of a constant color. For each color present in the cells, if two cells of the same color share the same row or column, all cells between them are filled with that color."
0141dfb5.json,"Applied a color mapping based on a cycle: 1→5, 8→9, and 3→4."
013b2efb.json,"The shapes are shifted up by one row. Additionally, the leftmost cell of the first row and the rightmost cell of the row immediately preceding a change in the right-column boundary are preserved in their original positions."
0314807c.json,"The colors of the concentric rectangular rings are cyclically shifted: the outer layer takes the color of the inner core, the middle layer takes the color of the outer layer, and the inner core takes the color of the middle layer."
03759c0e.json,"The output is a 3x6 grid consisting of two 3x3 grids side-by-side: the left half is a 180-degree rotation of the input, and the right half is a vertical flip of the input."
0386d5e8.json,Reverse the sequence of colors of the concentric rings from outermost to innermost.
068349d7.json,"Identify the 5x5 marker square of color 3, find its centrally symmetric counterpart area in the 16x16 grid, and output that area rotated 180 degrees."
073d827f.json,"The output is a grid where each row is a transformation of the input column: the last k non-zero elements are reversed at the start, followed by the remaining elements in reverse order, and ending with the last k non-zero elements in their original order."
072a3b15.json,"Two rectangles of color 4 are swapped in position (top to bottom-left, bottom to top-right). The bottom-left rectangle retains the original bottom rectangle's size, and the top-right rectangle's dimensions are derived from the original top rectangle's height and width. Interior colors are assigned based on original area (larger area = 2, smaller area = 1)."
06d0eecf.json,"The grid is divided into nine 3x3 blocks by lines of 5s. The block containing the number 4 is identified as the source block. This source block is then copied to a destination block, and all other blocks (excluding the 5s) are cleared to 0. The destination block is the one that contains no unique numbers (numbers that appear in only one block across the entire grid)."
0a55cb4a.json,"Identify the unique color and its position (r, c). Place that color at the center of a 3x3 square located at (9-r, 9-c), surround it with color 2, and set all other cells to 0."
08321e60.json,"Transpose the input grid, color shapes with a width or height of 1 or 2 as maroon (9) and larger shapes as red (2), and apply horizontal shifts to the resulting shapes."
