Task,gemma-4-31b-it
02aa4c52.json,Identify the most frequent number in the grid; keep that number unchanged and replace all other numbers with 8.
01732839.json,"For each non-zero value V at (0, C) in the input, place V at (row, C) for even rows and at (row, C-1) and (row, C+1) for odd rows."
0350ccb2.json,"Applied a substitution cipher mapping: 1↔5, 2↔9, 3↔6, and 4↔8."
01f9c076.json,Each colored block is shifted upwards by a distance equal to its own height (new top row = current top row - height).
03986ae6.json,"If the total count of 8s in the input grid is odd, the output is 8; if the count is even, the output is 2."
03ec5fc2.json,"The number 3 follows a zig-zag (ping-pong) pattern across the columns, starting at column 0 in the bottom row (row 9) and moving upwards, bouncing back and forth between column 0 and column N-1."
00583ef7.json,The output is a 4x4 grid where each cell is determined by comparing the corresponding cells in the four 4x4 quadrants of the input grid. The color is selected based on a priority order: 0 (black) > 4 (yellow) > 1 (blue) > 6 (magenta) > 7 (orange).
03c1877b.json,"Identify connected components of color 2 consisting of two or more adjacent cells. For each such component, create a boundary rectangle extending one cell beyond its minimum and maximum row and column indices, filling all cells within this rectangle with color 0, except for the cells of color 2."
068c0f22.json,"Replace all occurrences of the value 8 with the value 5, while keeping all other values unchanged."
03fcf234.json,"For each L-shape, identify the corner point and the diagonal direction extending away from its arms. Starting from the corner, skip the first adjacent point and fill all subsequent points along that diagonal until the grid boundary."
061c9f11.json,Identify the unique color sequence of the concentric layers from outermost to innermost and replace each color with the one that precedes it in the sequence (wrapping around).
05cb80e4.json,"Identify connected objects of color 8. The object with the smallest bounding box area is colored 1 (blue), and all other objects are colored 2 (red)."
0799c68a.json,The output grid is created by appending a vertically mirrored copy of the input grid directly beneath it.
06b7cffb.json,"The yellow cell (4) moves one step closer to the black cell (0) in each dimension (row and column) where their coordinates differ, while all other cells remain green (3) or black (0)."
0b8ca772.json,Each element in the 3x3 input grid is expanded into a 3x3 block of the same value in the 9x9 output grid.
0a9b1fef.json,"Identify colors with the maximum pixel count, sort them by the column index of their leftmost pixel, and create a grid where each column is filled with one of these sorted colors."
103d635a.json,Swap all occurrences of the digit 6 with 8 and vice versa.
0e487d19.json,The output is the 3x3 block (containing only 1s and 8s) that has the maximum number of 8s.
0a1b886d.json,"Identify the special color (C), the columns of the shortest row containing C (V_cols), and the index of the longest row containing C (H_row). For columns in V_cols and row H_row, toggle the outer border color to C and the special color C to the inner border color, excluding the inner border and the intersection points."
0c53f835.json,"The grid is filled by repeating a sequence S = [1, 7, 2, 5, 6, 8, 3, 4] such that the value at grid[row][col] is S[(row + col) % 8]."
14e00937.json,"Replace all cells of the shape's color with the color of the isolated cell at (6, 0), then set the isolated cell to 0."
1524d8de.json,Reverse the order of the concentric rectangular layers.
12066d82.json,"The input grid is expanded into a 2N x 2N grid consisting of four quadrants: the top-left is the original grid, the top-right is the original mirrored vertically then transposed, the bottom-right is the original rotated 180 degrees, and the bottom-left is the top-right rotated 180 degrees."
18208bd6.json,Identify all distinct 3x3 patterns within the grid and output the one that appears most frequently.
17fa274f.json,Extract the central area of the grid. Cells containing 9 remain 9; cells containing 6 are replaced by the value of the closest corner of the original input grid based on Manhattan distance.
15c4651a.json,Mirror the grey (5) shapes across the boundaries of the black (0) frame/brackets into the enclosed space.
1c2d48b8.json,"Identify a source pattern (non-zero, non-6 colors) and replace all target blocks of color 6 that match the source pattern's shape with the source pattern itself, then clear the original source pattern to 0."
1cf44aae.json,The output is a grid consisting of the smallest rectangle (by area) found in the input grid.
1e1d05d5.json,"Create a cross centered at the orange pixel (7) and a cross centered at the azure pixel (8). The orange cross fills row r7 and column c7 with 7s, and the azure cross fills row r8 and column c8 with 8s. The intersection points (r7, c8) and (r8, c7) are colored red (2)."
1d6047e4.json,"Identify a rectangle and a connector of the same color. If the connector is horizontal, move the rectangle horizontally so its left edge aligns with the connector's left edge; if vertical, align the top edges. The connector is then removed."
1ebe463f.json,"Identify U-shaped ""cups"" (color 4) and their interior seed colors. Fill the interior of the cup, the opening at the top, and the entire row immediately above the cup's width with the seed color."
1fecb230.json,"The 3x3 input grid is expanded to a 6x6 grid by concatenating each row with its horizontal mirror image, and then mirroring the resulting 3x6 block vertically."
2457ad86.json,The output grid is created by concatenating the input grid with itself horizontally.
22ce9a74.json,"The output is a 3x3 grid where the number of color 5 cells equals the ""empty height"" (total height of the U-shape interior minus the height of the color 5 block). These cells are placed in a clockwise spiral starting from (0,0)."
24c81b1e.json,Each shape of color 1 is recolored based on the color in the top row that is horizontally closest to the shape's horizontal center.
20dd834a.json,"Fill all cells between any two 0s in the same row or column with 1s, provided the cells are not already 0s."
251660ff.json,"Identify the foreground color (color_f) and the marker color (color_1). Determine the bounding box of all color_1 pixels. Create a rectangular border of color_f one pixel inside this bounding box, while preserving the original color_f shape and color_1 markers."
25cf7ee6.json,Identify connected components of '1's using 4-connectivity. Assign colors based on size: size 4 components are color 2; the first two size 3 components are color 3 (others color 2); the first two size 2 components are color 5 (others color 2); all other sizes are color 2.
25986162.json,"The output is a 16x16 grid where a template shape defined by color 8 in the input is replicated and shifted based on the positions of other colors in the input grid, with each instance taking the color of the corresponding input pixel."
21196188.json,"The bottom three rows (the 0s pattern) remain unchanged. The top three rows are modified by shifting the positions of the 4s based on the relative positions of the 0s in the bottom rows, effectively using the 0s pattern as a translation mask."
26576fca.json,"The largest enclosed region defined by the red lines (color 2) is filled with 1 (blue), and all other enclosed regions are filled with 0 (black)."
2bf8da3d.json,"For each colored rectangular block, replace all interior cells (those not on the boundary) with the background color 6."
2770f153.json,"The input grid is divided into three 4x4 sections. The output cell value is determined by a priority rule: if Section 1 is 0, output 0; else if Section 2 is 2, output 2; else if Section 3 is 1, output 1; otherwise, output 9."
2c696b6e.json,"If two or more 0s share the same row or column, fill all the cells between the outermost 0s of that row or column with 8s."
2c67ded9.json,Surround each yellow (4) object with a 1-pixel wide azure (8) boundary and fill any enclosed background holes with green (3).
32bff4f2.json,The grid is rotated 180 degrees.
2eecf109.json,"Identify the anomaly color (color 5) and replace each cell of that color with the value of the cell at its 180-degree symmetric position (15-r, 15-c)."
31dfb29d.json,"Identify rectangular boundaries (rings) composed of 0s; any cells containing the value 2 located strictly inside these boundaries are changed to 1, while cells containing 0 remain 0."
3573b13d.json,"Extract the two colored shapes and merge them into a 3x3 grid, where the non-zero cells of the smaller shape fill the zero cells of the larger shape."
3b38ae04.json,Transpose the input grid by switching its rows and columns.
3926ac83.json,"Identify the colors of the four border lines. For each inner cell, if its color matches a border color, project that color to the corresponding inner edge (Top, Bottom, Left, or Right) and replace the original cell with 4. All other inner cells are replaced with 4."
3b11b1a8.json,Draw lines between pairs of cells of the same color that share a row or column. Vertical lines take priority over horizontal lines at intersections.
3b09ee9d.json,The grid is scaled by a factor S (number of unique colors minus 1). The 4x4 core is expanded into S x S blocks. Color 4 intersections in the core are replaced by S x S blocks containing diagonals of color 7 pointing toward the center of the core.
3cdfe0da.json,"Split the input grid into left and right 4x3 sections using the center column of 0s. For each cell, if both the left and right sections contain the value 7, the output is 1; otherwise, the output is 7."
3d60aab7.json,The output is a 6x6 grid created by mirroring the 3x3 input grid both horizontally and vertically.
3d4305d7.json,Extract the 3x3 bounding box of the non-zero color and repeat it twice horizontally to create a 3x6 grid.
3d2ebf1e.json,"Identify all rectangular blocks of 0s and replace the one with the largest minimum dimension (the ""thickest"" rectangle) with 1s."
3bf29e2f.json,"Center colors (1 and 7) pull their corresponding surrounding colors (2 and 0) from the same row or column into adjacent positions (up, down, left, right), filling all other cells with background color 3."
3e1192bc.json,"Identify columns of 1s and rank them by length. Replace the longest column with color 4, the second longest with color 3, the third longest with color 5, and the shortest with color 0."
4165b420.json,"The output is a 1x5 grid where the number of cells filled with color 2 corresponds to the number of 2x2 blocks of color 2 found in the input grid, with the remaining cells filled with 0."
3eaf1bd8.json,Identify all contiguous blocks of color 2 and output the block containing the highest number of color 1 pixels.
424b55be.json,Count the number of connected components of 0s (N) and create an N x N grid with 0s on the main diagonal and 8s elsewhere.
429bf733.json,"Count the number of non-zero elements (S) in the 3x3 input grid. Expand each cell of the input into an S x S block of the same value in the output grid, resulting in a (3S) x (3S) grid."
3f5e7d5f.json,The output grid is constructed by filling its diagonals based on the values in the input grid.
4742553c.json,"For any row with distinct colors at the ends (column 0 and 10), fill the first five cells with the color from column 0, the middle cell with 6, and the last five cells with the color from column 10."
449249a5.json,"The 11x11 grid is divided into nine 3x3 regions by azure lines. For each region, if it contains two or more blue (color 1) pixels, the corresponding cell in the 3x3 output grid is magenta (color 6); otherwise, it is black (color 0)."
46e07c35.json,The 0s are shifted by the difference between the center of the rectangle formed by 2s and the center of the bounding box of the 0s.
4804ca79.json,"The input grid is split into two 6x5 sections (A and B) by a separator row. The output is a 6x5 grid where a cell is 3 if the corresponding cells in Section A and Section B have the same color, and 0 otherwise."
49926813.json,"Split the 3x6 input into two 3x3 grids. The output is a 3x3 grid where a cell is 3 (green) if the corresponding cell in the left grid is 6 (magenta) OR the corresponding cell in the right grid is 4 (yellow); otherwise, it is 0 (black)."
487cbb39.json,"Non-7 elements are shifted right within their rows. Rows (excluding the bottom row of 6s) are swapped in pairs. Non-empty rows are then moved to the bottom of the grid (above the 6s), with the row containing the longest sequence of identical elements placed last."
4b560ace.json,"The output grid is a 5x3 grid where a cell is 8 if the corresponding cells in both the left (cols 0-2) and right (cols 4-6) halves of the input grid are 0; otherwise, the cell is 0."
