Task,gemma-4-31b-it
025d127b.json,"For each shape, identify the rightmost column (Cmax) and bottommost row (Rmax). For all rows r < Rmax, shift each pixel at column c to min(c+1, Cmax). Pixels in row Rmax remain in their original positions."
007bbfb7.json,"The 9x9 output grid is composed of 3x3 blocks. For each cell (I, J) in the 3x3 input grid, if the value is non-zero, the corresponding 3x3 block in the output is a copy of the input grid; if the value is zero, the block is filled with zeros."
017c7c7b.json,"Replace 1s with 2s. Append three rows to the bottom: the first and third appended rows are copies of the first row, and the second appended row is the middle row among those that differ from the first row."
00d62c1b.json,Fill all enclosed regions of 0s (holes) that cannot reach the grid boundary through cardinal movements with the value 4.
0520fde7.json,"The input grid is split into two 3x3 grids (Left and Right) by a central column of 5s. The output grid is a 3x3 grid where a cell is 2 if both the Left and Right grids have a 1 at that position, and 0 otherwise."
045e512c.json,"Identify a 3x3 template pattern and repeat it using other colors present in the grid. The repetition starts from the seed pixels of each color and extends in the direction from the template's center to the seed's center, with each 3x3 block spaced by one empty row or column."
05269061.json,"Identify the sequence S of values from the three non-zero diagonals (sorted by r+c), where k0 is the smallest r+c value. The output grid is filled using the cyclic pattern Output(r, c) = S[(r + c - k0) mod 3]."
05f2a901.json,The red shape (color 2) moves horizontally toward the stationary azure shape (color 8) until it is exactly one column away from it.
06df4c85.json,"The grid is divided into 2x2 cells by lines of a specific color. For each color present (excluding the line color), any 2x2 blocks of the same color that share the same row or column of cells are connected by filling all 2x2 cells between them with that same color."
08ed6ac7.json,"Identify columns containing color 5 and rank them by the number of color 5 cells in descending order. Assign colors 1, 2, 3, and 4 to the columns based on this rank and replace the color 5 cells in those columns with their assigned rank color."
0962bcdd.json,"Expand each diamond pattern into a 5x5 area: the center and cells at Chebyshev distance 1 and 2 are Color A, while cells at Manhattan distance 1 and 2 are Color B."
09629e4f.json,"For each color (2, 3, 4, 6), identify the most frequent relative position (r, c) within the 3x3 blocks across the grid. Fill the 3x3 block located at that grid-level position (r, c) with the corresponding color, leaving all other blocks empty."
0a938d79.json,The repetition direction is determined by the smaller non-zero difference between the two given points. The pattern alternates between the two colors every 'd' units (where d is the smaller difference) across the entire grid in that direction.
0b148d64.json,"Divide the grid into top and bottom sections separated by zeros. Identify the part of the bottom section that contains a color different from the corresponding part of the top section, and crop the output to the smallest rectangle containing that color."
0ca9ddb6.json,Cells with value 1 trigger orthogonal neighbors to become 7; cells with value 2 trigger diagonal neighbors to become 4; other colors remain unchanged.
0d3d703e.json,"Applied a substitution mapping: 1↔5, 2↔6, 3↔4, and 8↔9."
0dfd9992.json,Fill in the zeros of the grid by identifying and repeating the periodic 9x9 tile pattern found in the input.
11852cab.json,"Identify the center of symmetry (cx, cy) of the non-zero cells and fill in any missing reflected cells (2cx-x, y), (x, 2cy-y), and (2cx-x, 2cy-y) with the same color."
10fcaaa3.json,"Tile the input grid 2x2. In the resulting grid, replace every cell containing 0 with 8 if the sum of its row and column indices (r + c) is even."
1190e5a7.json,The output grid dimensions are determined by the number of row and column segments created by full-line dividers of a specific color. The output grid is then filled entirely with the background color.
0e206a2e.json,"Identify a pattern cluster and rotate it 90 degrees counter-clockwise, then translate it to align specific anchor colors (1, 4, and 2) with corresponding anchor points in the grid."
137eaa0f.json,"Extract 3x3 blocks centered at every occurrence of color 5 and overlay them into a single 3x3 grid, where non-zero colors (excluding the center marker 5) take precedence."
178fcbfb.json,"Color 1 and 3 fill the entire row containing the cell, while Color 2 fills the entire column containing the cell. Rows overwrite columns at intersections."
150deff5.json,"Identify non-overlapping 2x2 blocks of 5s, starting from the top-left. Replace the pixels in these 2x2 blocks with 8s and all remaining 5s with 2s."
1b2d62fb.json,"The input grid is split into two 5x3 grids by a central column of 1s. The output grid is a 5x3 grid where a cell is 8 if the corresponding cells in both the left and right input grids are 0, and 0 otherwise."
1a07d186.json,"Pixels with colors matching a line's color move to the position immediately adjacent to that line (left if the pixel is to the right, right if the pixel is to the left). Pixels with colors that do not match any line are removed. Lines remain in place."
1bfc4729.json,"The output grid is split into two horizontal sections (rows 0-4 and 5-9) based on the colors of the two input points. For the first section (color C1), rows 0 and 2 are fully filled, while rows 1, 3, and 4 are filled only at the edges. For the second section (color C2), rows 7 and 9 are fully filled, while rows 5, 6, and 8 are filled only at the edges."
1c786137.json,Identify a rectangle formed by a single boundary color and extract the grid content located inside that boundary.
1b60fb0c.json,"The output grid is created by preserving all 1s from the input and adding 2s at the mirror image of each 1 across the vertical axis defined by the center of the bounding box of all 1s (axis = (leftmost_col + rightmost_col) / 2). If a mirrored position already contains a 1, it remains a 1."
1caeab9d.json,"Shift all colored shapes vertically so that their top-most row aligns with the top-most row of the shape with color 1, while preserving their horizontal positions and internal structures."
1cf80156.json,Identify the bounding box of all non-zero pixels in the input grid and crop the grid to this bounding box.
1e0a9b12.json,"In each column, all non-zero colored cells are shifted down to the bottom-most available positions while maintaining their original relative vertical order."
1e32b0e9.json,"The grid is divided into a 3x3 arrangement of 5x5 cells by lines of color 9. The pattern in the top-left cell (a 3x3 hollow square of 4s) is replicated across all cells. If a pixel in the base pattern is non-zero, the corresponding pixel in other cells is set to the grid line color (9), unless it already contains a non-zero value from the input, which is preserved."
1f642eb9.json,Markers on the grid perimeter replace the nearest edge cell of the azure (8) block if they share the same row or column.
1f85a75f.json,"Identify the color that forms a single, compact, rectangular cluster (as opposed to scattered pixels) and extract that cluster as the output grid."
1f876c06.json,Identify pairs of cells of the same color and fill in the diagonal path connecting them.
1f0c79e5.json,"Each '2' in the 2x2 block generates a 3-wide diagonal band of color 'C'. Top-right/bottom-left '2's create bands with center col = -r + constant; top-left/bottom-right '2's create bands with center col = r + constant. Bands reflect upon reaching the row of their generating '2'. The original 2x2 block's non-'2' cells (color 'C') are preserved, while '2' cells are cleared."
1fad071e.json,"Count the number of 2x2 squares of blue (1) pixels in the input grid. The output is a 1x5 grid where the first N elements are 1 and the remaining are 0, with N being the count of 2x2 blue squares."
2013d3e2.json,Identify the bounding box of non-zero elements and extract the top-left 3x3 quadrant of that bounding box.
2204b7a8.json,Identify the uniform boundary colors (either leftmost/rightmost columns or topmost/bottommost rows). Replace every cell with color 3 with the color of the nearest boundary.
22168020.json,"For each row, identify the leftmost and rightmost pixels of each color. If a color appears two or more times in a row, fill all pixels between those two endpoints with that same color."
2281f1f4.json,"Use the positions of color 5 in Row 0 as a template; for every other row containing a color 5, place color 2 at the template's column indices while keeping existing color 5s."
22eb0ac0.json,"If the leftmost and rightmost cells of a row are equal and non-zero, fill the entire row with that value; otherwise, leave the row unchanged."
228f6490.json,Identify two grey regions with holes and match colored objects to those hole shapes. Move the matching objects into the holes and remove them from their original positions; non-matching objects remain stationary.
23581191.json,"Create a vertical and horizontal line of color 8 (azure) passing through the azure pixel's coordinates, and a vertical and horizontal line of color 7 (orange) passing through the orange pixel's coordinates. The two intersection points of these lines are colored 2 (red)."
22233c11.json,"The rule identifies pairs or blocks of green cells (color 3) and transforms them into azure cells (color 8) by applying a specific reflection or shift relative to the center of the green cell distribution. For the test input, the $3 \times 3$ blocks are reflected across the center of the grid and shifted."
239be575.json,"Calculate the sum of the differences in row and column indices between the top-left corners of the two 2x2 blocks of 2s. If the sum is even and non-zero, the output is 8; otherwise, it is 0."
234bbc79.json,Remove columns consisting entirely of zeros and replace grey cells (color 5) with the color of the nearest non-zero neighbor.
23b5c85d.json,Identify the color with the smallest bounding box area and output a grid of that color with the dimensions of its bounding box.
253bf280.json,"If two cells containing the value '8' share the same row or column, fill all cells located between them with the value '3'."
25d8a9c8.json,"If all elements in a row are identical, replace the row with 5s; otherwise, replace the row with 0s."
25ff71a9.json,"Shift all rows down by one, discarding the bottom row and adding a row of zeros at the top."
25d487eb.json,"Identify the special pixel on the edge of the shape's bounding box and draw a line of that color from the special pixel to the opposite edge of the grid, without overwriting the shape's background color."
272f95fa.json,"The grid is divided into a 3x3 layout by azure (8) lines. The regions are filled based on position: Top-Middle with red (2), Middle-Left with yellow (4), Middle-Middle with magenta (6), Middle-Right with green (3), and Bottom-Middle with blue (1). All other regions remain black (0)."
28bf18c6.json,Extract the bounding box of the non-zero shape and repeat it twice horizontally.
27a28665.json,"The output is a scalar value determined by the specific arrangement (shape) of non-zero cells in the 3x3 grid, regardless of the color. The cross shape [[0, X, 0], [X, X, X], [0, X, 0]] maps to 6."
29623171.json,"Divide the 11x11 grid into nine 3x3 regions separated by gray lines (color 5). Count the occurrences of the dominant non-zero, non-five color in each region. Fill the regions containing the maximum count entirely with that color, and set all other non-gray cells to 0."
264363fd.json,"Identify a cross-shaped template pattern (center P4, vertical P1, horizontal P3, corners P2). For every cell of color P4 found within a colored rectangle, draw a vertical line of color P1 across the rectangle's height, a horizontal line of color P3 across the rectangle's width, and place corner cells of color P2 around the P4 center. The original template is then removed."
28e73c20.json,"Create a clockwise spiral of color 3 starting from (0,0), moving Right, Down, Left, and Up, maintaining a gap of one cell between the spiral arms."
29c11459.json,"For rows with non-zero values at column 0 and column 10, fill columns 0-4 with the color at column 0, column 5 with color 5, and columns 6-10 with the color at column 10."
29ec7d0e.json,Identify the underlying $9 \times 9$ repeating block by filling in the zeros based on existing patterns and replicate this block horizontally and vertically to fill the $18 \times 18$ grid.
2bee17df.json,Replace all black cells (0) with green cells (3) if they are located in any row or column that contains the maximum number of black cells among all rows and columns respectively.
2c608aff.json,"Draw lines of the point color from each point pixel to the edge of the central rectangle if they share the same row or column, stopping one pixel before the rectangle's boundary."
2bcee788.json,"The main color shape is mirrored across the axis formed by color 2, where the axis itself acts as the first line of the reflection. The final grid is the union of the original shape and its reflection, with all remaining cells filled with color 3."
2dc579da.json,Identify the central row and column (cross) dividing the grid into four quadrants. Extract the quadrant that contains a color different from the common background color of the other quadrants.
2dee498d.json,The input grid consists of three identical or mirrored square blocks of size HxH arranged horizontally; the output is the first HxH block.
31aa019c.json,"Identify the color that appears exactly once in the input grid at position (r, c). Create a 10x10 grid of zeros, then place a 3x3 block centered at (r, c) where the center cell retains the unique color and the surrounding 8 cells are filled with color 2."
